Year,National Health Expenditures,Health Consumption Expenditures,Total,Hospital Care,Physician and Clinical Services,Other Professional Services,Dental Services,Other Health Residential and Personal,Home Health Care,Nursing Care,Prescription Drugs,Durable Medical Equipment,Other Non-Durable Equipment
1971-12-31,83.185589101322,74.311339095353,69.419446753774,30.223810982973,15.902272552338,0.7930021677194,5.1868211474067,1.4233111118038,0.193652479,4.5509159971868,5.8769999998551,1.7986603154915,3.47
1971-01-01,83.185589101322,74.311339095353,69.419446753774,30.223810982973,15.902272552338,0.7930021677194,5.1868211474067,1.4233111118038,0.193652479,4.5509159971868,5.8769999998551,1.7986603154915,3.47
1970-12-31,74.823281363373,67.040285702192,63.058996267423,27.168437236065,14.336816934329,0.7257814571156,4.6746074041841,1.3307272318346,0.2195429210001,4.033840257123,5.4969999998697,1.7472428259023,3.325
1970-01-01,74.823281363373,67.040285702192,63.058996267423,27.168437236065,14.336816934329,0.7257814571156,4.6746074041841,1.3307272318346,0.2195429210001,4.033840257123,5.4969999998697,1.7472428259023,3.325
1969-12-31,66.17215314944,59.067094119133,55.48793235753,23.367281037896,12.709525135856,0.6778074934021,4.1784442978886,1.2434549347508,0.2715984499999,3.4113874769027,5.1489999998476,1.5124335309865,2.967
1969-01-01,66.17215314944,59.067094119133,55.48793235753,23.367281037896,12.709525135856,0.6778074934021,4.1784442978886,1.2434549347508,0.2715984499999,3.4113874769027,5.1489999998476,1.5124335309865,2.967
1968-12-31,58.726567757868,52.742416705335,49.190657960287,20.537251822796,11.353273899591,0.643543000999,3.6660239273274,1.0932624033286,0.2375814630001,2.851132363386,4.7419999998698,1.3165890799893,2.75
1968-01-01,58.726567757868,52.742416705335,49.190657960287,20.537251822796,11.353273899591,0.643543000999,3.6660239273274,1.0932624033286,0.2375814630001,2.851132363386,4.7419999998698,1.3165890799893,2.75
1967-12-31,51.736539120608,46.467139511245,43.47467580307,17.797655586506,10.440304222974,0.607679002417,3.4099260679618,0.9388512477249,0.1640514579999,2.2338812255615,4.2269999998921,1.1283269920328,2.527
1967-01-01,51.736539120608,46.467139511245,43.47467580307,17.797655586506,10.440304222974,0.607679002417,3.4099260679618,0.9388512477249,0.1640514579999,2.2338812255615,4.2269999998921,1.1283269920328,2.527
1966-12-31,46.203456993737,41.182400087248,38.393510246334,15.29811532923,9.2891909734171,0.5718925839449,2.9623519321804,0.8278069428846,0.1078157790001,1.7323047184053,3.9849999999125,1.2420319873594,2.377
1966-01-01,46.203456993737,41.182400087248,38.393510246334,15.29811532923,9.2891909734171,0.5718925839449,2.9623519321804,0.8278069428846,0.1078157790001,1.7323047184053,3.9849999999125,1.2420319873594,2.377
1965-12-31,41.936684689968,37.172108281624,34.715462307669,13.544731212722,8.5900645694743,0.5334107334691,2.793908132741,0.725365012763,0.0894880750001,1.4078675331798,3.7149999999275,1.1046270383926,2.211
1965-01-01,41.936684689968,37.172108281624,34.715462307669,13.544731212722,8.5900645694743,0.5334107334691,2.793908132741,0.725365012763,0.0894880750001,1.4078675331798,3.7149999999275,1.1046270383926,2.211
1964-12-31,38.540307172345,34.132607978156,32.049893798474,12.500953320248,8.1304012077679,0.4863800084255,2.590106375784,0.6652636806836,0.074547725,1.1682357100465,3.3469999999275,1.0040057705908,2.083
1964-01-01,38.540307172345,34.132607978156,32.049893798474,12.500953320248,8.1304012077679,0.4863800084255,2.590106375784,0.6652636806836,0.074547725,1.1682357100465,3.3469999999275,1.0040057705908,2.083
1963-12-31,34.675071412505,30.873282149169,29.041382879893,11.507335614162,7.0511892699717,0.4509144124288,2.3446596624947,0.6045020566748,0.069002853,1.0093322912768,3.158999999935,0.9014467199492,1.944
1963-01-01,34.675071412505,30.873282149169,29.041382879893,11.507335614162,7.0511892699717,0.4509144124288,2.3446596624947,0.6045020566748,0.069002853,1.0093322912768,3.158999999935,0.9014467199492,1.944
1962-12-31,31.877963549587,28.384877769461,26.644875585038,10.431821901497,6.2526829813075,0.42852380811,2.1989969645983,0.5522899954141,0.064690175,0.87581323295,3.0289999999087,0.9100565262525,1.901
1962-01-01,31.877963549587,28.384877769461,26.644875585038,10.431821901497,6.2526829813075,0.42852380811,2.1989969645983,0.5522899954141,0.064690175,0.87581323295,3.0289999999087,0.9100565262525,1.901
1961-12-31,29.212734123473,26.349897495595,24.780478191691,9.7771291747527,5.84923399879,0.4091307288526,2.0793132514538,0.5180724013111,0.06053152,0.8405163168641,2.7179999999388,0.7645507997277,1.764
1961-01-01,29.212734123473,26.349897495595,24.780478191691,9.7771291747527,5.84923399879,0.4091307288526,2.0793132514538,0.5180724013111,0.06053152,0.8405163168641,2.7179999999388,0.7645507997277,1.764
1960-12-31,27.346119875471,24.779866306435,23.341533429714,8.9852966501016,5.6395009033992,0.392267765159,1.963933358201,0.4509286835934,0.056526891,0.8106358362572,2.6759999999236,0.7404433420786,1.626
1960-01-01,27.346119875471,24.779866306435,23.341533429714,8.9852966501016,5.6395009033992,0.392267765159,1.963933358201,0.4509286835934,0.056526891,0.8106358362572,2.6759999999236,0.7404433420786,1.626
